Date,Open,High,Low,Price,Adj. Close,Vol.,Change %
30-Nov-16,4420.46,4439.74,4401.97,4413.88,,7.46B,-0.21%
29-Nov-16,4417.20,4457.35,4411.95,4423.28,,8.64B,-0.16%
28-Nov-16,4436.26,4447.48,4421.50,4430.26,,8.38B,0.29%
25-Nov-16,4386.15,4417.42,4334.14,4417.42,,7.72B,0.71%
24-Nov-16,4378.03,4412.25,4374.35,4386.28,,7.77B,0.06%
23-Nov-16,4394.63,4409.05,4374.58,4383.70,,8.01B,0.00%
22-Nov-16,4353.83,4383.60,4353.83,4383.60,,7.18B,0.77%
21-Nov-16,4339.47,4375.18,4334.38,4350.00,,6.19B,0.12%
18-Nov-16,4368.21,4376.74,4339.79,4344.67,,5.76B,-0.53%
17-Nov-16,4361.92,4374.04,4343.35,4367.67,,6.33B,-0.10%
16-Nov-16,4374.26,4384.26,4366.01,4372.17,,7.92B,0.06%
15-Nov-16,4351.94,4369.76,4338.89,4369.76,,7.69B,0.43%
14-Nov-16,4332.89,4373.15,4327.51,4350.86,,9.81B,0.21%
11-Nov-16,4318.21,4341.66,4304.73,4341.66,,9.53B,0.56%
10-Nov-16,4300.69,4332.49,4300.69,4317.52,,7.48B,1.17%
9-Nov-16,4294.78,4302.63,4219.82,4267.50,,7.77B,-0.56%
8-Nov-16,4281.97,4302.81,4277.64,4291.51,,5.79B,0.62%
7-Nov-16,4267.57,4279.18,4251.25,4265.19,,6.52B,-0.05%
4-Nov-16,4283.42,4301.49,4260.82,4267.32,,5.24B,-0.42%
3-Nov-16,4251.41,4309.48,4249.34,4285.40,,6.42B,0.52%
2-Nov-16,4294.65,4301.37,4260.97,4263.16,,5.66B,-0.98%
1-Nov-16,4273.84,4306.28,4269.82,4305.41,,4.64B,0.86%
31-Oct-16,4259.96,4275.04,4239.78,4268.62,,4.57B,-0.04%
28-Oct-16,4297.16,4320.77,4269.94,4270.26,,5.40B,-0.66%
27-Oct-16,4306.79,4308.00,4282.68,4298.78,,4.94B,-0.26%
26-Oct-16,4329.13,4329.48,4301.07,4309.94,,6.09B,-0.44%
25-Oct-16,4319.08,4329.70,4317.25,4328.98,,5.94B,0.28%
24-Oct-16,4280.29,4330.01,4275.41,4317.01,,6.85B,0.92%
21-Oct-16,4287.78,4298.87,4251.16,4277.68,,5.85B,-0.26%
20-Oct-16,4281.59,4296.31,4277.39,4288.82,,5.10B,0.19%
